Data Ora;789 [°C];789 [m/s];261 [°C];261 [m/s];590 [°C];590 [m/s];154 [°C];154 [m/s];150 [°C];150 [m/s];348 [°C];348 [m/s];,,,,,,,,,,,,
16.12.2022 11:30:36;4,2;0,02;2,9;---;1,9;0,42;2,2;0,40;2,0;0,00;3,9;0,03;,
16.12.2022 11:30:37;4,2;0,00;2,8;0,50;1,9;0,45;2,1;---;2,0;0,00;3,9;0,03;,
16.12.2022 11:30:38;4,2;0,01;2,8;0,51;1,9;0,43;2,1;0,41;2,0;0,00;3,9;0,04;
16.12.2022 11:30:39;4,2;0,00;2,8;0,59;1,8;0,47;2,1;0,44;2,0;0,00;3,9;0,04;
16.12.2022 11:30:40;4,2;0,00;2,7;0,43;1,8;0,45;2,1;0,46;2,0;0,00;3,9;0,05;
16.12.2022 11:30:41;4,2;0,00;2,8;---;1,8;0,49;2,1;---;2,0;0,00;3,9;0,05;,,
16.12.2022 11:30:42;4,2;0,04;---;0,39;1,8;0,47;2,0;0,45;2,0;0,00;3,9;0,03;,
16.12.2022 11:30:43;4,2;0,14;2,7;0,58;1,8;0,49;2,0;---;2,0;0,00;3,9;0,05;,
16.12.2022 11:30:44;4,2;0,10;2,7;0,41;1,7;0,54;2,0;0,41;2,0;0,00;3,9;0,05;
16.12.2022 11:30:45;4,2;0,05;2,8;0,35;1,7;0,57;1,9;0,59;2,0;0,00;3,9;0,04;
16.12.2022 11:30:46;4,2;0,04;---;0,16;1,6;0,67;1,9;0,62;2,0;0,00;3,9;0,06;,
16.12.2022 11:30:47;4,2;0,04;3,0;0,06;1,6;0,66;1,9;0,76;2,0;0,00;3,9;0,07;
16.12.2022 11:30:48;4,2;0,05;3,1;0,02;1,6;0,63;1,8;0,64;2,0;0,00;3,9;0,04;
16.12.2022 11:30:49;4,2;0,04;3,0;---;1,6;0,59;1,9;---;2,0;0,01;3,9;0,03;,,
16.12.2022 11:30:50;4,2;0,03;2,8;0,17;1,6;0,78;1,8;0,55;2,0;0,00;3,9;0,03;
16.12.2022 11:30:51;4,2;0,02;---;0,56;1,5;0,85;1,8;0,66;2,1;0,01;3,9;0,03;,
16.12.2022 11:30:52;4,2;0,09;2,8;0,63;1,5;0,79;1,8;0,57;2,1;0,02;3,9;0,05;
16.12.2022 11:30:53;4,2;0,15;2,7;0,61;1,5;0,91;1,8;0,51;2,1;0,02;3,9;0,06;
16.12.2022 11:30:54;4,2;0,16;2,7;0,52;1,4;0,77;1,8;---;2,1;0,00;3,9;0,05;,
16.12.2022 11:30:55;4,1;0,22;2,7;0,45;1,5;0,65;1,9;0,46;2,1;0,00;3,9;0,06;
16.12.2022 11:30:56;4,1;0,21;---;0,58;1,5;0,58;1,9;0,34;2,1;0,00;3,9;0,07;,
16.12.2022 11:30:57;4,1;0,15;2,6;0,73;1,5;0,56;1,9;0,35;2,1;0,00;3,9;0,06;
16.12.2022 11:30:58;4,1;0,10;2,5;0,65;1,5;0,44;1,8;0,64;2,1;0,00;3,9;0,05;
16.12.2022 11:30:59;4,1;0,04;2,4;0,83;1,5;0,54;1,8;---;2,1;0,00;3,9;0,04;,
16.12.2022 11:31:00;4,1;0,02;---;---;1,5;0,57;1,8;0,67;2,1;0,00;3,9;0,02;,,
16.12.2022 11:31:01;4,1;0,05;2,4;0,70;---;---;1,7;0,69;2,1;0,00;3,9;0,01;,,
16.12.2022 11:31:02;4,1;0,02;---;0,70;1,4;0,76;1,7;0,72;2,1;0,01;3,9;0,03;,
16.12.2022 11:31:03;4,1;0,06;2,5;0,66;1,4;0,77;1,7;---;2,1;0,04;3,9;0,04;,
16.12.2022 11:31:04;4,0;0,10;2,5;0,64;1,3;0,74;---;0,64;2,1;0,00;3,9;0,03;,
16.12.2022 11:31:05;4,0;0,08;---;0,63;1,3;0,80;1,7;0,52;2,1;0,00;3,9;0,02;,
16.12.2022 11:31:06;4,0;0,08;2,4;0,74;1,3;0,72;1,7;0,56;2,1;0,00;3,9;0,03;
16.12.2022 11:31:07;4,0;0,04;2,4;0,77;1,3;0,89;1,7;---;2,1;0,01;3,9;0,05;,
16.12.2022 11:31:08;4,0;0,02;---;0,73;1,2;1,02;1,7;0,58;2,1;0,01;3,9;0,05;,
16.12.2022 11:31:09;4,0;0,08;2,4;0,73;1,2;0,96;1,7;0,65;2,1;0,02;3,9;0,04;
16.12.2022 11:31:10;3,9;0,10;2,4;0,89;1,2;0,97;---;0,82;2,1;0,00;3,8;0,06;,
16.12.2022 11:31:11;3,9;0,07;2,3;0,88;1,2;0,80;1,6;0,75;2,1;0,03;3,9;0,05;
16.12.2022 11:31:12;3,9;0,08;2,3;0,84;1,2;0,65;1,6;0,83;2,1;0,04;3,8;0,04;
16.12.2022 11:31:13;3,9;0,05;2,3;0,96;1,3;0,60;1,6;---;2,1;0,01;3,8;0,04;,
16.12.2022 11:31:14;3,9;0,03;2,2;1,06;1,3;0,59;1,6;0,57;2,1;0,01;3,8;0,06;
16.12.2022 11:31:15;3,9;0,07;2,2;1,04;1,3;0,62;---;0,56;2,1;---;3,8;0,06;,,
16.12.2022 11:31:16;3,9;0,07;2,2;0,94;1,2;0,65;1,6;0,60;2,1;0,01;3,8;0,10;
16.12.2022 11:31:17;3,8;0,14;2,2;1,03;1,2;0,58;1,6;---;2,1;0,03;3,8;0,06;,
16.12.2022 11:31:18;3,8;0,15;---;---;1,2;0,50;1,6;0,63;2,1;0,06;3,7;0,06;,,
16.12.2022 11:31:19;3,8;0,18;2,2;0,88;1,2;0,62;1,6;0,68;2,1;0,12;3,7;0,07;
16.12.2022 11:31:20;3,8;0,15;2,2;0,88;1,3;0,42;1,6;---;2,1;0,14;3,7;0,05;,
16.12.2022 11:31:21;3,7;0,22;2,2;1,00;1,3;0,46;1,6;0,62;2,1;0,09;3,7;0,04;
16.12.2022 11:31:22;3,7;0,18;---;0,93;1,3;0,49;1,6;---;2,2;0,07;3,7;0,06;,,
16.12.2022 11:31:23;3,7;0,16;2,2;0,91;1,3;0,52;1,7;0,57;2,2;0,14;3,7;0,06;
16.12.2022 11:31:24;3,7;0,11;2,2;0,89;1,3;0,50;---;0,54;2,2;0,05;3,7;0,05;,
16.12.2022 11:31:25;3,8;0,09;---;1,13;1,3;0,59;1,7;0,44;2,2;0,02;3,7;0,05;,
16.12.2022 11:31:26;3,8;0,16;2,2;0,95;1,3;0,74;1,7;0,33;2,2;0,11;3,7;0,07;
16.12.2022 11:31:27;3,8;0,12;2,2;0,65;1,3;0,59;---;0,46;2,2;0,16;3,7;0,06;,
16.12.2022 11:31:28;3,8;0,13;2,2;0,96;1,3;0,63;1,8;0,47;2,2;0,19;3,7;0,07;
16.12.2022 11:31:29;3,8;0,15;2,2;0,90;1,4;0,39;1,7;0,64;2,2;0,24;3,7;0,10;
16.12.2022 11:31:30;3,8;0,12;---;0,81;1,4;0,42;1,7;---;2,3;0,11;3,7;0,05;,,
16.12.2022 11:31:31;3,8;0,06;2,1;1,33;1,4;0,62;1,6;0,68;2,3;0,04;3,7;0,06;
16.12.2022 11:31:32;3,8;0,07;2,1;1,57;1,3;0,73;1,6;0,77;2,3;0,03;3,7;0,05;
16.12.2022 11:31:33;3,8;0,06;2,0;1,57;1,3;0,68;1,6;---;2,3;0,03;3,7;0,04;,
16.12.2022 11:31:34;3,8;0,06;2,0;1,42;1,3;0,66;---;0,92;2,4;0,02;3,7;0,04;,
16.12.2022 11:31:35;3,8;0,05;2,0;1,40;1,3;0,66;1,5;0,82;2,4;0,04;3,7;0,03;
16.12.2022 11:31:36;3,8;0,05;---;1,39;1,3;0,81;---;0,81;2,4;---;3,7;0,04;,,,
16.12.2022 11:31:37;3,8;0,04;2,0;1,40;---;---;1,6;0,83;2,4;0,03;3,7;0,04;,,
16.12.2022 11:31:38;3,8;0,05;2,0;1,47;---;---;1,6;0,68;2,4;0,01;3,6;0,07;,,
16.12.2022 11:31:39;3,8;0,05;2,0;1,46;---;---;1,6;0,57;2,5;0,00;3,6;0,08;,,
16.12.2022 11:31:40;3,7;0,13;2,0;1,48;---;---;1,6;1,19;2,5;0,00;3,5;0,11;,,
16.12.2022 11:31:41;3,7;0,06;2,0;1,57;---;---;1,5;---;2,5;0,00;3,5;0,08;,,,
16.12.2022 11:31:42;3,7;0,05;1,9;1,81;---;---;1,5;1,28;2,5;0,00;3,5;0,07;,,
16.12.2022 11:31:43;3,7;0,04;1,9;1,75;---;---;1,5;1,22;2,6;0,00;3,6;0,08;,,
16.12.2022 11:31:44;3,7;0,11;1,9;1,69;---;---;1,5;1,20;2,6;0,00;3,6;0,06;,,
16.12.2022 11:31:45;3,7;0,22;1,9;1,70;---;---;1,5;1,06;2,6;0,00;3,5;0,08;,,
16.12.2022 11:31:46;3,7;0,08;1,9;1,61;---;---;1,5;0,96;2,6;0,03;3,5;0,10;,,
16.12.2022 11:31:47;3,7;0,07;1,9;1,61;---;---;1,5;0,94;2,6;0,06;3,5;0,10;,,
16.12.2022 11:31:48;3,7;0,04;1,9;1,62;---;---;1,5;1,00;2,7;0,01;3,5;0,09;,,
16.12.2022 11:31:49;3,8;0,02;1,9;1,73;---;---;---;1,20;2,7;0,01;3,5;0,07;,,,
16.12.2022 11:31:50;3,8;0,03;1,8;2,10;---;---;1,4;1,37;2,7;0,04;3,5;0,07;,,
16.12.2022 11:31:51;3,8;0,04;1,8;2,11;---;---;---;1,59;2,7;0,05;3,5;0,06;,,,
16.12.2022 11:31:52;3,7;0,01;---;2,08;---;---;1,4;1,60;2,7;0,07;3,5;0,05;,,,
16.12.2022 11:31:53;3,7;0,02;1,8;1,96;---;---;1,4;1,51;2,7;0,07;3,5;0,04;,,
16.12.2022 11:31:54;3,7;0,01;1,8;1,91;---;---;1,4;1,39;2,7;0,08;3,5;0,05;,,
16.12.2022 11:31:55;3,7;0,02;1,8;1,88;---;---;1,4;1,19;2,8;0,05;3,6;0,05;,,
16.12.2022 11:31:56;3,7;0,01;---;1,94;---;---;1,4;1,34;2,8;0,05;3,5;0,06;,,,
16.12.2022 11:31:57;3,7;0,02;1,8;1,99;---;---;1,4;---;2,8;0,07;3,6;0,08;,,,
16.12.2022 11:31:58;3,7;0,06;---;2,06;---;---;1,3;1,54;2,8;---;3,5;0,07;,,,,
16.12.2022 11:31:59;3,7;0,03;1,8;2,02;1,1;---;1,3;1,53;2,8;0,02;3,5;0,06;,
16.12.2022 11:32:00;3,7;0,04;1,8;1,88;1,1;---;1,3;1,52;2,8;0,05;3,5;0,07;,
16.12.2022 11:32:01;3,7;0,04;---;1,92;1,1;1,75;1,3;---;2,8;0,06;3,5;0,09;,,
16.12.2022 11:32:02;3,7;0,05;1,7;1,99;1,1;1,73;1,3;1,49;2,8;0,06;3,5;0,07;
16.12.2022 11:32:03;3,7;0,03;---;2,05;1,1;1,78;1,3;---;2,9;0,06;3,5;0,08;,,
16.12.2022 11:32:04;3,7;0,02;1,7;1,97;1,1;1,83;1,3;1,44;2,9;0,07;3,5;0,07;
16.12.2022 11:32:05;3,7;0,06;1,7;1,84;1,1;1,80;---;1,46;2,9;0,07;3,5;0,07;,
16.12.2022 11:32:06;3,7;0,09;1,7;1,87;1,1;1,61;1,3;1,43;2,9;0,08;3,5;0,06;
16.12.2022 11:32:07;3,7;0,11;1,7;1,85;1,1;1,69;1,3;1,44;2,9;---;3,5;0,08;,
16.12.2022 11:32:08;3,7;0,13;1,7;1,45;1,1;1,70;1,3;1,37;2,9;0,08;3,5;0,09;
16.12.2022 11:32:09;3,7;0,08;1,7;1,31;1,1;1,73;1,2;1,30;2,9;0,08;3,5;0,07;
16.12.2022 11:32:10;3,7;0,11;1,7;1,11;1,0;1,47;1,2;1,27;2,9;0,12;3,5;0,08;
16.12.2022 11:32:11;3,7;0,15;---;1,13;---;---;1,2;1,19;2,9;0,09;3,4;0,05;,,,
16.12.2022 11:32:12;3,7;0,15;1,7;1,15;1,0;1,30;---;0,97;2,9;0,08;3,4;0,09;,
16.12.2022 11:32:13;3,6;0,18;1,8;1,17;1,1;1,09;1,2;1,17;2,9;0,08;3,4;0,10;
16.12.2022 11:32:14;3,6;0,17;---;1,04;1,0;1,25;---;1,13;2,9;0,07;3,4;0,10;,,
16.12.2022 11:32:15;3,6;0,17;1,7;1,42;1,0;1,34;1,2;1,18;2,9;---;3,4;0,11;,
16.12.2022 11:32:16;3,6;0,17;1,7;1,24;1,0;1,22;1,2;1,10;2,9;0,09;3,4;0,10;
16.12.2022 11:32:17;3,6;0,14;1,7;1,12;1,0;1,25;1,2;0,93;2,9;0,10;3,3;0,11;
16.12.2022 11:32:18;3,6;0,16;1,7;1,21;1,0;1,17;1,2;1,09;2,9;0,12;3,3;0,09;
16.12.2022 11:32:19;3,6;0,18;1,7;1,35;---;---;1,2;1,15;2,9;0,12;3,3;0,11;,,
16.12.2022 11:32:20;3,6;0,17;1,7;1,25;1,0;1,14;---;1,15;2,9;0,10;3,3;0,09;,
16.12.2022 11:32:21;3,6;0,14;1,7;1,23;1,0;1,07;1,2;1,19;2,9;---;3,3;0,10;,
16.12.2022 11:32:22;3,6;0,13;1,7;1,22;1,0;1,28;1,2;1,14;3,0;0,12;3,2;0,09;
16.12.2022 11:32:23;3,6;0,16;1,8;1,11;1,0;1,46;1,2;1,05;2,9;0,11;3,2;0,09;
16.12.2022 11:32:24;3,6;0,15;1,8;1,02;1,0;1,42;1,3;1,05;3,0;0,08;3,2;0,10;
16.12.2022 11:32:25;3,6;0,12;1,8;0,88;1,0;1,39;1,3;1,03;3,0;---;3,2;0,09;,
16.12.2022 11:32:26;3,6;0,12;1,8;0,83;1,1;1,30;1,3;1,02;3,0;0,08;3,2;0,10;
16.12.2022 11:32:27;3,6;0,09;1,8;0,79;1,1;1,29;1,2;1,04;3,0;0,07;3,2;0,09;
16.12.2022 11:32:28;3,6;0,20;---;0,76;1,1;1,21;1,2;1,00;3,0;---;3,2;0,10;,,
16.12.2022 11:32:29;3,5;0,22;1,8;0,84;1,1;1,16;1,3;1,00;3,0;0,06;3,2;0,10;
16.12.2022 11:32:30;3,5;0,25;1,8;0,78;1,1;1,10;1,3;0,87;3,0;0,09;3,2;0,15;
16.12.2022 11:32:31;3,5;0,19;1,9;0,86;1,1;1,04;---;0,81;3,0;0,08;3,2;0,09;,
16.12.2022 11:32:32;3,5;0,22;---;0,34;1,1;0,90;1,2;0,96;3,0;---;3,2;0,10;,,
16.12.2022 11:32:33;3,5;0,18;1,9;0,33;1,2;0,73;1,2;0,91;3,0;0,14;3,2;0,11;
16.12.2022 11:32:34;3,5;0,23;1,9;0,25;1,2;0,72;1,2;0,86;3,0;---;3,2;0,11;,
16.12.2022 11:32:35;3,5;0,19;1,9;0,45;1,2;0,74;1,3;0,76;3,0;0,04;3,2;0,08;
16.12.2022 11:32:36;3,5;0,14;1,9;0,62;1,2;0,75;---;0,63;3,0;0,04;3,2;0,10;,
16.12.2022 11:32:37;3,5;0,20;---;0,62;1,2;0,74;1,3;0,71;3,0;0,04;3,2;0,10;,
16.12.2022 11:32:38;3,5;0,14;1,9;0,67;1,2;---;---;0,60;3,1;0,01;3,2;0,10;,,
16.12.2022 11:32:39;3,5;0,14;---;0,44;1,2;0,98;1,3;0,52;3,1;0,03;3,2;0,12;,
16.12.2022 11:32:40;3,5;0,13;2,0;0,18;1,1;1,11;---;0,53;3,1;---;3,2;0,09;,,
16.12.2022 11:32:41;3,5;0,08;2,0;0,41;1,1;1,06;1,3;0,65;3,1;0,06;3,2;0,07;
16.12.2022 11:32:42;3,5;0,06;1,9;0,63;1,1;1,15;1,3;0,57;3,1;---;3,2;0,06;,
16.12.2022 11:32:43;3,5;0,09;1,9;0,41;1,1;1,25;1,3;0,76;3,1;0,09;3,2;0,08;
16.12.2022 11:32:44;3,5;0,11;1,9;0,64;1,1;1,19;1,3;0,89;3,1;---;3,2;0,08;,
16.12.2022 11:32:45;3,5;0,13;1,9;0,89;1,1;1,11;1,2;1,03;3,1;0,10;3,2;0,08;
16.12.2022 11:32:46;3,5;0,18;1,9;1,02;1,1;1,26;---;1,02;3,1;---;3,2;0,10;,,
16.12.2022 11:32:47;3,5;0,17;1,8;1,06;1,1;1,01;1,2;0,94;3,1;0,07;3,2;0,07;
16.12.2022 11:32:48;3,5;0,12;1,8;1,05;1,1;1,05;---;0,84;3,1;---;3,2;0,06;,,
16.12.2022 11:32:49;3,5;0,11;1,8;1,17;1,1;0,99;1,2;0,88;3,1;0,07;3,2;0,06;
16.12.2022 11:32:50;3,5;0,15;1,8;1,08;1,2;1,05;1,2;1,01;3,1;0,08;3,2;0,06;
16.12.2022 11:32:51;3,5;0,10;1,8;1,01;1,2;0,92;---;0,90;3,1;0,04;3,1;0,07;,
16.12.2022 11:32:52;3,5;0,08;1,8;1,14;1,2;0,83;1,2;0,85;3,2;---;3,2;0,06;,
16.12.2022 11:32:53;3,5;0,05;1,8;1,18;1,2;0,85;---;0,80;3,2;0,05;3,2;0,06;,
16.12.2022 11:32:54;3,5;0,07;1,8;0,97;1,2;0,76;1,2;0,88;3,1;0,04;3,2;0,06;
16.12.2022 11:32:55;3,4;0,19;1,8;0,98;1,2;1,07;---;0,87;3,0;---;3,2;0,05;,,
16.12.2022 11:32:56;3,4;0,30;1,8;0,87;1,2;0,98;1,2;0,90;3,0;0,23;3,2;0,06;
16.12.2022 11:32:57;3,4;0,19;1,8;0,92;1,2;0,79;1,2;0,77;3,0;0,17;3,2;0,07;
16.12.2022 11:32:58;3,4;0,11;1,8;1,02;1,2;0,79;1,2;0,72;3,0;0,16;3,1;0,18;
16.12.2022 11:32:59;3,5;0,07;1,8;1,04;1,2;0,66;---;0,71;3,1;0,02;3,1;0,15;,
16.12.2022 11:33:00;3,5;0,06;1,8;0,95;1,3;0,65;1,3;0,64;3,1;0,01;3,1;0,07;
16.12.2022 11:33:01;3,5;0,04;1,8;0,87;1,3;0,59;1,3;0,60;3,1;0,00;3,1;0,06;
16.12.2022 11:33:02;3,5;0,03;1,8;1,08;1,3;0,54;1,3;0,68;3,2;---;3,1;0,04;,
16.12.2022 11:33:03;3,5;0,03;1,8;1,02;1,3;0,52;1,3;0,63;3,2;0,01;3,1;0,04;
16.12.2022 11:33:04;3,5;0,01;1,8;0,83;1,3;0,64;---;0,61;3,2;0,00;3,1;0,06;,
16.12.2022 11:33:05;3,5;0,05;1,8;0,60;1,3;0,73;1,3;0,59;3,2;0,09;3,1;0,08;
16.12.2022 11:33:06;3,5;0,23;1,9;0,17;1,3;0,94;1,3;0,64;3,2;---;3,1;0,12;,
16.12.2022 11:33:07;3,5;0,31;2,1;0,07;1,2;1,02;1,3;0,52;3,2;0,08;3,1;0,27;
16.12.2022 11:33:08;3,4;0,28;2,2;0,04;1,2;1,03;1,3;0,26;3,2;0,14;3,1;0,17;
16.12.2022 11:33:09;3,4;0,23;2,3;0,07;1,2;0,82;1,4;0,12;3,2;---;3,1;0,13;,
16.12.2022 11:33:10;3,4;0,23;2,2;0,13;1,2;0,61;1,4;0,08;3,2;0,05;3,1;0,13;
16.12.2022 11:33:11;3,4;0,42;2,2;0,18;1,3;0,55;1,4;0,19;3,3;---;3,1;0,13;,
16.12.2022 11:33:12;3,4;0,28;---;0,21;1,3;0,53;1,4;0,25;3,3;0,03;3,1;0,14;,
16.12.2022 11:33:13;3,4;0,47;2,1;0,23;1,4;0,40;1,5;0,27;3,3;0,05;3,1;0,20;
16.12.2022 11:33:14;3,4;0,25;2,1;0,30;1,4;0,26;---;0,19;3,3;0,01;3,1;0,12;,
16.12.2022 11:33:15;3,4;0,21;2,2;0,28;1,4;0,25;1,5;0,19;---;0,04;3,1;0,10;,
16.12.2022 11:33:16;3,4;0,20;2,1;0,23;1,4;0,39;1,5;0,29;3,3;0,04;3,1;0,08;
16.12.2022 11:33:17;3,5;0,18;2,1;0,38;1,5;0,37;1,4;0,34;3,3;0,02;3,1;0,08;
16.12.2022 11:33:18;3,5;0,15;2,1;0,34;1,5;0,21;---;0,45;---;0,14;3,1;0,09;,,
16.12.2022 11:33:19;3,5;0,17;2,0;0,44;1,5;0,20;1,4;0,34;3,3;0,10;3,2;0,08;
16.12.2022 11:33:20;3,5;0,21;2,0;0,22;1,5;0,45;1,4;0,49;3,4;0,05;3,2;0,10;
16.12.2022 11:33:21;3,4;0,31;2,1;0,13;1,5;0,54;---;0,55;3,4;0,09;3,2;0,13;,
16.12.2022 11:33:22;3,4;0,50;2,1;0,13;1,5;0,55;1,4;0,53;---;0,19;3,1;0,18;,
16.12.2022 11:33:23;3,4;0,44;2,1;0,37;1,4;0,53;1,4;0,55;3,4;0,13;3,1;0,12;
16.12.2022 11:33:24;3,4;0,35;2,0;0,59;1,5;0,43;1,3;0,43;3,4;0,16;3,1;0,11;
16.12.2022 11:33:25;3,4;0,22;2,1;0,23;1,5;0,23;---;0,57;3,4;0,31;3,1;0,11;,
16.12.2022 11:33:26;3,4;0,37;2,2;0,11;1,5;0,47;1,3;0,61;3,4;0,18;3,1;0,34;
16.12.2022 11:33:27;3,3;0,77;2,2;0,08;1,4;0,67;1,3;0,41;3,4;0,10;3,0;0,38;
16.12.2022 11:33:28;3,2;0,71;2,2;0,13;1,5;0,33;1,4;0,37;---;0,10;3,0;0,46;,
